"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Молочні суміші для дитячого харчування","Місячна","148.51","150.08","154.53","155.24","156.59","158.99","157.29","158.19","156.26","157.52","158.69","159.3","160.22","158.48","160.01","163.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Горілка","Місячна","114.89","115.55","118.23","113.82","112.46","112.53","112.45","115.45","113.71","114.45","114.84","112.67","115.77","115.78","117.68","117.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Вина столові вітчизняні","Місячна","101.52","100.78","100.95","101.75","98.36","95.12","99.14","97.59","103.29","103.31","114.3","109","107.32","110.62","109.2","110.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Пиво вітчизняних марок","Місячна","33.22","32.69","33.3","32.95","33.63","33.57","34.9","34.95","35.62","35.82","35.3","33.89","33.61","33.88","34.76","35.49"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Сигарети з фільтром вітчизняних марок","Місячна","83.71","85.17","85.03","83.8","84.87","89.41","91.08","92.9","95.81","99.43","99.43","99.43","100.26","99.86","102.79","106.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Сигарети з фільтром медіум класу","Місячна","83.41","87.87","88.92","88.45","89.76","90.23","92.13","93.08","95.76","97.61","100.14","104.63","106.67","109.33","111.06","112.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Сигарети з фільтром преміум класу","Місячна","99.5","100.93","102.71","103.92","104.88","107.53","107.53","107.53","111.86","113.93","115.74","121.88","123.93","125.93","127.93","131.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Плата за оренду 1-кімнатної квартири","Місячна","4669.01","4737.03","4787.8","4819.36","4848.72","4899.29","4958.86","4977.28","4977.28","4819.85","4737.8","4655.6","4655.6","4579.6","4579.6","4662.01"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Антибіотики вітчизняні","Місячна","50.01","50.66","51","51.61","51.53","52.06","52.52","52.59","53.67","54.44","55.35","55.81","57.24","58.94","60.76","63.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Антибіотики імпортні","Місячна","200.1","202.43","203.58","204.7","210.71","218.5","224.21","231.88","227.75","225.33","227.51","235.76","239.47","229.69","241.28","253"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Судинорозширювальні засоби вітчизняні","Місячна","15.91","16.05","15.93","16.12","16.38","16.61","16.76","17.14","17.23","17.29","17.52","17.58","17.4","17.42","17.32","17.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Судинорозширювальні засоби імпортні","Місячна","68.95","69.39","72.72","72.97","73.09","73.12","73.8","75.29","80.23","82.53","82.75","80.98","82.19","83.58","82.38","82.69"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","22.62","23.23","23.4","22.89","23.27","23.73","24.14","24.56","24.93","25.32","25.44","28.94","29.55","29.78","29.82","29.55"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Жарознижувальні та знеболювальні препарати імпортні","Місячна","26.46","26.82","28.38","28.72","28.8","27.51","27.83","28.22","28.79","29.41","29.98","30.24","30.62","31.97","31.79","32.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Стоматологічні послуги","Місячна","901.12","914.65","922.71","935.05","955.88","973.11","991.17","1004.75","1004.75","1030.48","1045.06","1045.06","1045.06","1045.06","1056.41","1073.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Бензин А-92","Місячна","46.37","46.62","48.13","49.7","50.49","50.93","51.12","51.75","52.6","52.05","50.76","50.37","50.69","51.42","51.28","50.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Бензин А-95","Місячна","50.82","50.65","51.98","54.07","55.49","55.82","55.9","55.84","55.83","55.16","54.69","54.65","55.64","55.9","55.5","53.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Дизельне пальне","Місячна","51.45","51.42","52.37","54.31","53.74","53.19","53.04","52.92","52.79","52.42","52.23","52.52","54.26","54.6","54.32","52.79"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Газ скраплений для автомобілів","Місячна","28.73","26.89","27.69","27.83","27.02","26.59","26.34","27.49","30.51","34.33","35.09","35.36","36.49","37.08","36.55","35.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Проїзд у міському транспорті","Місячна","8","8","8","8","8","8","8","8","8","8","8","15","15","15","15","15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Дошкільна освіта","Місячна","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","56.45","64.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Одеська","Послуги у сфері страхування особистого транспорту","Місячна","2257.54","2257.54","2233.46","2278.9","2350.25","2445.55","2445.55","2494","2428.9","2428.89","2496.6","2587.24","4948.43","4948.43","4946.41","4946.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Рис","Місячна","49.83","51.33","52.83","52.32","52.72","53.94","54.03","55.38","56.59","56.71","57.44","57.44","56.64","56.42","54.18","54.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Хліб пшеничний з борошна вищого ґатунку","Місячна","33.86","34.14","34.14","34.39","35.17","35.83","36.37","38.38","38.87","39.12","40.33","41.89","42.22","43.93","43.45","44.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Хліб пшеничний з борошна першого ґатунку","Місячна","31.65","32.25","32.25","33.31","33.47","33.92","34.61","35.89","35.89","35.89","35.89","36.92","36.53","36.54","36.89","37.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Хліб житній, житньо-пшеничний","Місячна","31.68","31.68","31.68","31.95","33.16","33.73","34.06","35.31","35.98","35.98","36.77","37.97","38.3","37.01","37.01","37.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Батон","Місячна","22.51","22.51","22.51","22.7","23.12","23.41","23.85","25.33","25.71","25.83","26.19","27.32","27.01","27.43","27.43","27.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Макаронні вироби з м’яких сортів пшениці","Місячна","25.54","25.4","25.79","25.23","25.55","25.94","25.49","26.3","27.55","28.81","29.74","29.74","29.7","30.17","29.93","30.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Борошно пшеничне","Місячна","14.72","14.98","14.97","15.14","15.65","17.42","17.08","17.63","17.45","18.21","19.38","20.3","18.65","19.21","19.68","19.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Крупи манні","Місячна","20.27","20.78","20.9","21.11","21.47","22.33","23.1","22.14","22.41","23.94","25.59","25.95","26.08","26.55","31.21","31.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Крупи гречані","Місячна","27.54","28.33","26.72","26.48","27.24","30.51","30.81","30.51","30.93","33.31","36.07","37.11","37.46","37.04","36.57","36.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Крупи ячні","Місячна","14.67","14.49","14.65","14.6","14.6","15.02","15.9","17.5","17.47","19.76","20.2","20.68","20.37","21.31","21.89","21.89"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Пшоно","Місячна","21.46","20.64","20.86","20.36","20.16","19.68","19.82","20.97","21.02","20.98","22.34","21.88","21.75","22.62","22.97","22.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Крупи пшеничні","Місячна","12.59","12.41","12.62","12.66","12.51","12.68","14.58","13.92","14.42","14.69","15.97","16.78","17.68","17.52","17.17","17.62"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Яловичина","Місячна","252.75","264.13","268.17","268.25","271.06","284.51","268.06","267.72","262.34","271.16","270.99","269.26","284.19","296.63","288.62","303.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Свинина","Місячна","171.98","168.87","162.92","162.32","172.06","164.87","164.41","172.09","170.64","167.99","165.09","173.85","170.27","180.35","187.52","202.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Птиця (тушки курячі)","Місячна","87.73","83.08","83.92","84.25","86.47","83.91","81.62","81.6","87.42","87.3","90.47","92.13","87.83","83.94","91.96","98.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Філе куряче","Місячна","147.27","147.05","149.22","146.19","148.67","146.06","145.63","151.76","162","165.31","161.21","157.95","160.11","154.65","164","172.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Ковбаси варені першого ґатунку","Місячна","146.33","143.07","143.07","158.11","156.49","139.24","147.73","147.73","147.73","127.3","138.27","145.37","129.04","129.19","131.72","136.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Риба морожена","Місячна","167.17","165.87","167.48","170.67","173.03","172.13","184.04","180.84","178.68","183.41","184.68","184.08","189.54","192.21","196.58","193.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Молоко пастеризоване жирністю до 2,6% включно","Місячна","37.02","37.97","40.12","40.84","37.48","38.29","38.87","40.12","40.71","43.69","45.66","45.94","43.4","40.91","42.62","42.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сири м’які жирні","Місячна","167.58","176.82","172.85","174.95","174.25","165.59","180.42","177.22","182.7","190.97","200.77","209.73","203.76","202.84","197.88","189.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сметана жирністю до 15% включно","Місячна","108.56","109.7","109.05","112.62","109.71","109.14","113.19","117.5","128.77","122.29","141.4","141.43","146.86","142.38","139.98","134.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Яйця","Місячна","48.03","44.58","36.5","26.66","24.51","31.57","23.41","26.52","31.6","38.52","59.19","57.18","43.98","47.44","57.48","55.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Масло вершкове","Місячна","78.95","80.36","78.71","83.02","82.13","82.75","83.48","81.88","87.9","95.2","102.02","106.86","101.28","103.08","98.73","99.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Олія соняшникова","Місячна","53.98","52.24","50.15","52.26","54.7","55.51","58.74","60.48","62.61","65.73","67.73","71.62","73.15","72.81","74.39","74.32"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сало","Місячна","143.79","139.44","140.61","133.55","134.4","129.49","128.44","127.9","128.44","129.49","129.49","128.44","128.44","134.18","134.18","135.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Яблука","Місячна","16.91","19.62","21.8","22.64","23.28","25.55","28.76","27.49","26.53","28.58","31.75","31.59","32.08","33.21","37.08","42.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Капуста білокачанна","Місячна","11.79","12.56","11.97","11.29","16.58","11.13","9.97","31.53","25.93","28.9","29.26","31.59","37.5","45.05","46.13","48.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Цибуля ріпчаста","Місячна","14.96","13.79","14.84","14.45","22.95","23.03","13.65","12.93","13.41","14.37","15.96","15.22","14.84","13.08","12.85","15.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Буряк","Місячна","14.03","14.85","14.53","14.26","24.67","27.35","17.04","12.4","13.62","15.88","17.89","18.85","21.06","21.47","22.16","26.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Морква","Місячна","13.83","14.15","12","10.8","14.35","24.41","16.06","14.85","14.49","21.47","26.08","30.31","32","35.01","39.67","37.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Картопля","Місячна","17.64","20.08","20.43","20.48","23.16","25.23","16.52","18.68","20.49","25.17","30.16","29.94","29.66","28.32","29.01","30.66"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Цукор","Місячна","29.7","28.71","28.94","27.53","28.36","28.66","31.95","32.97","30.23","29.34","29.32","29.43","29.61","28.82","29.04","30.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Молочні суміші для дитячого харчування","Місячна","109.78","114.07","107.79","104.7","107.64","108.25","106.58","107.44","108.98","108.98","115.27","125.04","117.69","119.36","117.45","123.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Горілка","Місячна","108.42","106.21","105.81","106.57","105.42","108.65","107.57","107.94","112.18","112.25","113.47","106.87","101.87","102.42","101.91","101.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Вина столові вітчизняні","Місячна","96.11","93.9","93.58","93.58","91.74","95.38","96.97","92.34","92.38","93.25","101.03","99.89","101.78","98.03","94.55","99.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Пиво вітчизняних марок","Місячна","30.61","29.87","28.4","26.56","25.27","27.49","31.9","30.68","31.04","30.21","32.89","32.04","31.92","32.38","33.1","33.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сигарети з фільтром вітчизняних марок","Місячна","73.24","75.49","75.49","76.99","78.69","80.21","82.49","85.95","88.48","89.5","92.47","93.23","93.23","94.21","95.93","103.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сигарети з фільтром медіум класу","Місячна","79.3","79.73","81.51","84.79","86.6","88.31","89.22","91.73","93","94.9","98.78","102.87","104.85","104.85","109.68","112.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сигарети з фільтром преміум класу","Місячна","97.65","99.74","100.72","103.92","105.92","105.92","107.92","108.92","112.87","114.9","117.93","119.91","121.92","123.89","124.95","130.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Плата за оренду 1-кімнатної квартири","Місячна","6187.22","6187.22","6236.94","6236.94","6236.94","6529.48","6529.48","6581.96","6581.96","6581.96","6581.96","6634.85","7336.07","7336.07","7336.07","7336.07"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Антибіотики вітчизняні","Місячна","58.7","58.72","58.27","58.86","58.33","57.54","54.98","54.65","57.23","58.76","60.87","60.47","64.01","65.35","68.75","68.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Антибіотики імпортні","Місячна","168.66","170.33","175.04","176.37","181.26","175.85","176.08","179.08","183.12","199.53","200.82","208.83","216.92","218","213.93","213.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Судинорозширювальні засоби вітчизняні","Місячна","15.24","15.46","15.27","15.89","15.99","16.01","16.09","16.28","16.09","16.64","16.57","17.35","17.37","17.75","16.94","17.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Судинорозширювальні засоби імпортні","Місячна","68.33","68.31","69.67","69.48","69.33","69.42","71.46","73.54","74.49","75.25","75.17","76.3","74.77","75.53","75.66","79.04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","20.66","20.29","22.32","22.53","23.04","21.89","23.92","24.5","26.14","27.26","29.77","30.49","31.35","30.85","27.65","29.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Жарознижувальні та знеболювальні препарати імпортні","Місячна","27.09","25.85","26.38","28.17","28.19","26.23","26.78","27.48","27.31","27.05","28.07","27.5","30.69","33.51","33.01","32.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Стоматологічні послуги","Місячна","740.46","740.46","740.46","740.46","757.53","757.53","757.53","757.53","788.03","788.03","788.03","788.03","790.89","790.89","790.89","804.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Бензин А-92","Місячна","48.79","48.22","49.73","51.78","52.63","52.89","53.45","53.79","54.34","54.24","53.54","53.09","54.39","54.75","53.99","52.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Бензин А-95","Місячна","51.09","50.61","52.07","54.44","55.28","55.37","55.85","56.15","56.79","56.54","55.87","55.13","56.24","56.59","55.9","54.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Дизельне пальне","Місячна","51.29","51.08","52.54","54.41","53.44","52.55","52.53","52.48","52.73","52.36","50.85","51.53","52.84","53.84","53.5","52.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Газ скраплений для автомобілів","Місячна","28.46","26.78","27.75","27.69","27.42","27.04","26.96","28.04","30.73","33.66","34.51","35.15","36.2","36.61","36.56","35.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Проїзд у міському транспорті","Місячна","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95","10.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Дошкільна освіта","Місячна","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Полтавська","Послуги у сфері страхування особистого транспорту","Місячна","1612.02","1638.27","1686.42","1686.42","1686.42","1760.44","1750.26","1800.87","1800.87","1839.99","1839.99","1839.99","4052.41","4072.33","3948.72","4055.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Рис","Місячна","50.71","50.99","47.99","48.08","48.55","47.58","48.19","49.58","50.13","51.09","51.61","54.25","53.3","53.1","49.78","49.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Хліб пшеничний з борошна вищого ґатунку","Місячна","46.96","47.35","47.35","47.35","47.65","48.37","49.35","51.31","52.24","53.34","54.37","55.11","55.92","56.64","56.64","58.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Хліб пшеничний з борошна першого ґатунку","Місячна","36.47","36.47","36.47","36.87","37.42","37.42","38.23","39.9","40.14","41.2","42.34","43.14","43.8","44.12","44.12","45.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Хліб житній, житньо-пшеничний","Місячна","35.31","35.31","35.31","35.53","35.8","35.8","36.44","37.54","39.03","39.9","40.87","41.42","41.86","42.12","42.12","44.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Батон","Місячна","26.33","26.33","26.33","26.61","26.87","26.87","27.35","29.15","29.41","29.86","30.49","31.25","31.25","31.5","31.5","32.89"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Макаронні вироби з м’яких сортів пшениці","Місячна","28.21","28.31","27.87","27.9","27.51","27.81","28.8","29.81","30.41","30.74","31.76","31.99","32.49","32.75","33.17","32.47"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Борошно пшеничне","Місячна","15.59","15.54","15.5","15.43","15.19","15.27","16.2","17.08","17.65","18.16","19.23","19.58","19.95","19.84","20.42","20.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Крупи манні","Місячна","19.35","19.98","20.15","20.57","21.06","20.69","21.18","21.54","22.17","21.78","22.84","24.74","25.16","25.45","26.57","27.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Крупи гречані","Місячна","29.93","29.9","27.97","25.47","25.12","26.74","26.21","25.86","25.97","26.58","29.11","30.53","31.2","31.86","31.75","31.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Крупи ячні","Місячна","13.54","13.59","13.23","13.81","13.96","13.19","14.4","14.94","15.84","16.74","17.49","18.08","18.51","18.96","19.97","20.21"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Пшоно","Місячна","22.11","22.05","21.31","21.75","20.9","21.77","22.35","21.84","21.68","22.23","23.45","23.76","24.02","24.15","24.23","23.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Крупи пшеничні","Місячна","15","14.75","14.84","14.34","14.47","13.9","14.54","14.77","14.73","16.27","17.82","19","18.83","19.35","19.42","20"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Яловичина","Місячна","259.01","265.13","268.22","277.93","281.14","282.78","286.5","281.08","283.1","287.24","289.22","291.7","301.4","298.01","303.19","307.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Свинина","Місячна","172.41","164.43","164.73","165.75","162.62","160.09","163.04","167.05","169.13","173.1","176.34","177.81","182.24","184.18","185.11","201.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Птиця (тушки курячі)","Місячна","82.16","82.96","83.95","83.46","79.96","80.29","78.22","80.63","83.82","87.73","88.56","88.33","87.01","87.48","88.06","91.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Філе куряче","Місячна","156.84","151.07","153.67","156.96","150.48","153.57","156.23","158.03","159.02","161.57","164.11","160.29","160.22","163.02","167.67","176.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Ковбаси варені першого ґатунку","Місячна","168.41","170.34","165.36","169.88","170.81","174.45","176.97","180.02","182.04","183","162.62","179.32","192.48","190.77","190.77","192.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Риба морожена","Місячна","165.01","164.86","161.12","160.58","155.3","156.08","160.95","162.66","169.38","174.71","179.95","182.35","174.03","183.78","184.57","185.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Молоко пастеризоване жирністю до 2,6% включно","Місячна","34.95","35.63","35.77","36.1","35.28","35.9","34.81","35.63","37.12","38.46","39.9","41.27","40.65","42.39","41.09","42.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сири м’які жирні","Місячна","189.1","181.29","187.48","184.25","184.43","184.06","184.36","188.56","193.13","206.94","213.79","209","221.04","220.2","220.82","221.32"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сметана жирністю до 15% включно","Місячна","99.69","102.19","102.4","103.53","103.44","104.34","102.83","101.2","106.61","113.44","116.69","121.37","125.65","128","129.85","131.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Яйця","Місячна","56.44","51.41","39.73","34.08","30.63","33.94","31.01","31.79","34.98","40.89","67.69","66.51","54.78","49.07","61.02","62.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Масло вершкове","Місячна","78.48","81.96","81.83","80.66","81.72","80.07","80.44","81.33","83.68","91.94","96.62","100.86","103.49","108.99","110.11","107.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Олія соняшникова","Місячна","54.98","56.7","55.29","55.76","54.53","56.45","58.71","58.34","60.87","62.91","63.18","70.78","75.26","78.5","78.18","77.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сало","Місячна","144.41","145.19","142.53","142.43","143.24","140.99","140.49","140.29","141.13","141.13","140.3","140.29","140.3","140.3","140.79","143.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Яблука","Місячна","18.66","20.91","20.84","22.77","22.06","24.82","25.22","26.72","23.17","25.67","30.48","33.11","33.57","33.89","38.44","42.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Капуста білокачанна","Місячна","14.3","14.93","14.34","12.68","15.61","10.76","10.75","30.62","26.74","29.17","29.75","33.06","38.39","44.67","44.42","47.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Цибуля ріпчаста","Місячна","16.12","16.21","16.52","15.16","21.98","22","13.14","15.32","14.19","15.41","15.68","15.34","15.09","14.12","13.77","16.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Буряк","Місячна","16.31","16.88","16.86","17.57","25.73","37","18.51","12.63","12.09","14.54","14.61","15.75","18.95","20.14","21.84","23.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Морква","Місячна","13.37","12.51","10.68","10.66","12.9","20.39","19.09","13.95","15.04","20.32","24.01","26.32","25.98","32.81","34.37","36.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Картопля","Місячна","21.29","22.46","22.62","22.45","25.46","27.28","19.05","18.49","17.74","24.81","28.44","27","27.52","27.65","27.08","27.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Цукор","Місячна","31.43","30.73","30.67","29.61","29.54","30.27","33.54","35.03","35.12","33.15","31.66","32.65","32.63","32.84","34.05","33.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Молочні суміші для дитячого харчування","Місячна","137.02","138.04","146.3","148.12","150.94","155.41","160.65","159.66","163.62","168.29","168.9","168.9","169.2","172.06","176.17","176.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Горілка","Місячна","120.64","117.72","115.8","115.67","116.24","116.22","117.61","118.75","116.71","118.65","116.18","116.16","116.86","117.47","120.77","120.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Вина столові вітчизняні","Місячна","95.56","94.56","96.08","99.98","100.6","101.31","99.8","99.8","95.42","97.75","96.07","99.04","100.18","101.34","104.13","102.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Пиво вітчизняних марок","Місячна","28.09","28.32","28.22","27.28","28.18","28.56","29.67","29.97","29.92","27.13","27.68","28.85","29.74","29.43","29.44","29.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сигарети з фільтром вітчизняних марок","Місячна","74.22","75.24","76.37","77.35","77.6","78.46","79.21","79.94","81.85","84.66","85.64","88.92","90.15","91.17","97.06","98.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сигарети з фільтром медіум класу","Місячна","80.93","81.65","83.38","85.68","87.59","88.47","89.35","90.15","92.1","95.02","98.46","101.22","104.23","104.46","104.88","106.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сигарети з фільтром преміум класу","Місячна","96.06","98.12","100.48","103.11","103.92","105.3","106.81","107.8","108.94","110.83","115.06","117.24","120.21","121.63","125.42","127.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Плата за оренду 1-кімнатної квартири","Місячна","9744.01","9744.01","9744.01","9744.01","9784.99","9810.77","9830.22","9830.22","9864.57","9891.27","9891.27","9891.27","10163.99","10234.15","10262.9","10262.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Антибіотики вітчизняні","Місячна","60.4","60.07","59.33","59.34","60.77","61.22","60.75","62.16","62.63","63.79","65.68","68.18","71.72","73.64","69.96","70.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Антибіотики імпортні","Місячна","202.42","198.98","202.72","198.71","233.15","239.63","242.3","245.97","255.12","257.93","254.49","305.56","304.92","311.03","316.96","321.27"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Рівненська","Судинорозширювальні засоби вітчизняні","Місячна","17.01","17.26","17.42","17.71","17.87","18.01","17.89","18.15","18.45","18.65","18.82","18.99","19.5","20","19.16","18.78"
